-5.0,5.0
-5.0,5.0
-5.0,5.0
-4.833,4.833
-4.833,4.833
-4.143,4.143
-4.143,4.143
-4.028,4.028
-4.028,4.028
-4.028,4.028
-4.028,4.028
-4.143,4.143
-4.394,4.394
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.028,4.028
-4.028,4.028
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.028,4.028
-4.028,4.028
-4.028,4.028
-4.028,4.028
-3.919,3.919
-4.028,4.028
-4.028,4.028
-4.028,4.028
-4.028,4.028
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.143,4.143
-4.265,4.265
-4.265,4.265
-4.394,4.394
-4.833,4.833
-4.833,4.833
-5.0,5.0
-5.0,5.0
-6.905,6.905
-4.394,4.394
-8.056,8.056
-7.25,7.25
